Code;Price;Short_Description;Description
54002;19,30;Funktionsanalyse;Ergotherapeutische Funktionsanalyse (nur einmal bei Behandlungsbeginn abrechenbar) 
54102;25,15;Einzelbehandlung bei motorisch 30-45 mins;Ergotherapeutische Einzelbehandlung bei motorisch-funktionellen Störungen Regelbehandlungszeit: 30 bis 45 Minuten 
54103;34,60;Einzelbehandlung bei sensomotorischen 45-60 mins;Ergotherapeutische Einzelbehandlung bei sensomotorischenl perzeptiven 'Störungen Regelbehandlungszeit: 45 bis 60 Minuten 
54104;27,00;Hirnleistungstraining 30-45 mins;Ergotherapeutisches Hirnleistungstraining/neuropsychologisch orientierte Einzelbehandlung Regelbehandlungszeit: 30 bis 45 Minuten 
54105;43,30;Einzelbehandlung bei psychisch 60-75 mins;Ergotherapeutische Einzelbehandlung bei psychisch-funktionellen Störungen Regelbehandlungszeit: 60 bis 75 Minuten 
54107;25,15;Einzelbehandlung bei motorisch zur Integration;"Ergotherapeutische Einzelbehandlung bei motorisch-funktionellen Störungen als Beratung zur Integration in das häusliche und soziale Umfeld im Rahmen eines Hausbesuches (einmal pro Regelfall, bis zu 3 Einheiten an einem Tag); je Einheit "
54108;34,60;Einzelbehandlung bei sensomotorischen zur Integration;"Ergotherapeutische Einzelbehandlung bei sensomotorischenl perzeptiven Störungen als Beratung zur Integration in das häusliche und soziale Umfeld im Rahmen eines Hausbesuches (einmal pro Regelfall, bis zu 3 Einheiten an einem Tag); je Einheit "
54109;43,30;Einzelbehandlung bei psychisch zur Integration;"Ergotherapeutische Einzelbehandlung bei psychisch-funktionellen Störungen als Beratung zur Integration in das häusliche und soziale Umfeld im Rahmen eines Hausbesuches (einmal pro Regelfall, bis zu 2 Einheiten an einem Tag); je Einheit "
54110;80,00;Einzelbehandlung bei psychisch 120-150 mins;Ergotherapeutische Einzelbehandlung bei psychisch-funktionellen Störungen als Belastungserprobung Regelbehandlungszeit: 120 bis 150 Minuten 
54209;9,00;Gruppenbehandlung bei motorisch 30-45 mins;"Ergotherapeutische Gruppenbehandlung bei motorisch-funktionellen Störungen (3 bis 5 Patienten); je Patient Regelbehandlungszeit: 30 bis 45 Minuten "
54210;11,65;Gruppenbehandlung bei sensomotorischen 45-60 mins;"Ergotherapeutische Gruppenbehandlung bei sensomotorischenl perzeptiven Störungen (3 bis 5 Patienten); je Patient Regelbehandlungszeit: 45 bis 60 Minuten "
54211;11,65;Hirnleistungstraining als Gruppenbehandlung 45-60 mins;"Ergotherapeutisches Hirnleistungstraining als Gruppenbehandlung (3 bis 5 Patienten); je Patient Regelbehandlungszeit: 45 bis 60 Minuten "
54212;21,50;Gruppenbehandlung bei psychisch 90-120 mins;"Ergotherapeutische Gruppenbehandlung bei psychisch-funktionellen Störungen (3 bis 5 Patienten); je Patient Regelbehandlungszeit: 90 bis 120 Minuten "
54213;39,75;Gruppenbehandlung bei psychisch 180-240 mins;"Ergotherapeutische Gruppenbehandlung bei psychisch-funktionellen Störungen als Belastungserprobung (3 bis 5 Patienten); je Patient Regelbehandlungszeit: 180 bis 240 Minuten "
54301;3,35;Thermische Anwendungen;Thermische Anwendungen (Wärme und Kälte) (nur abrechnungsfähig neben Positionen 54102, 54103, 54209 und 54210 sowie bei entsprechender Verordnung) 
54405;0,00;temporäre Schiene bis 150 EUR;Ergotherapeutische temporäre Schiene ohne Kostenvoranschlag bis 150,00 EUR 
54406;0,00;temporäre Schiene über 150 EUR;Ergotherapeutische temporäre Schiene nach Kostenvoranschlag über 150,00 EUR 
59701;0,55;Verwaltungsaufwand für Therapeut-Arzt-Bericht;Verwaltungsaufwand für Therapeut-Arzt-Bericht (nur abrechenbar, wenn der verordnende Vertragsarzt nach Ende der Behandlungsserie einen schriftlichen Bericht über den Therapieverlauf auf dem Verordnungsvordruck anfordert) 
59933;11,60;Abrechnungspauschale eines Patienten;Abrechnungspauschale für den vertragsärztlich verordneten Hausbesuch eines Patienten Die zusätzliche Abrechnung der Positionen 59901 und 59907 ist in diesem Fall nicht möglich. 
59934;5,85;Abrechnungspauschale mehrerer Patienten;Abrechnungspauschale für den vertragärztlich verordneten Hausbesuch mehrerer Patienten in sozialen Einrichtungen (z. B. Senioren-/Pflegeheim) an einem Tag, je Patient Die zusätzliche Abrechnung der Position 59907 ist in diesem Fall nicht möglich. 
59932;11,60;Abrechnungspauschale zur Integration;Abrechnungspauschale für den Hausbesuch bei Beratung zur Integration in das häusliche und soziale Umfeld (nur einmal pro Regelfall nach Rücksprache mit dem verordnenden Arzt abrechenbar) 
59901;8,35;Hausbesuch eines Patienten;Ärztlich verordneter Hausbesuch eines Patienten Diese Position ist nur abrechenbar, sofern die Entfernung von der Wohnung des Patienten zum nächst erreichbaren Behandler mindestens 20 km beträgt und die Genehmigung der zuständigen Krankenkasse vorliegt. Die zusätzliche Abrechnung der Position 59933 ist in diesem Fall nicht möglich. 
59907;0,30;Wegegeld je km;Wegegeld je km Diese Position ist nur abrechenbar, sofern die Entfernung von der Wohnung des Patienten zum nächst erreichbaren Behandler mindestens 20 km beträgt und die Genehmigung der zuständigen Krankenkasse vorliegt. Die zusätzliche Abrechnung der Positionen 59933 und 59934 ist in diesem Fall nicht möglich. 
